,id,type_of_contract,type_of_contract2,channel,datetime,Term,payment_type,product,amount,state,overdue_count,overdue,credit rating,bank,cancellation,age,Mileage
7,66751017,렌탈,Package,홈쇼핑/방송,2019-10-20,60,카드이체,K2,80400,계약확정,0,없음,1.0,롯데카드,정상,46.57897431638022,
19,66758336,렌탈,Promotion,전자랜드,2019-10-20,60,CMS,K1,111900,계약확정,0,없음,9.0,농협은행,정상,46.39109968733784,
21,66758074,렌탈,Normal,서비스 방문,2019-10-20,60,CMS,K2,87900,계약확정,0,없음,1.0,국민은행,정상,46.57458819125406,
33,66127796,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,1.0,우리은행,정상,46.5728337412036,
54,66757967,렌탈,Promotion,서비스 방문,2019-10-21,60,카드이체,K1,105900,계약확정,0,없음,5.0,롯데카드,정상,46.47933503919503,
60,66758704,렌탈,Promotion,홈플러스,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,6.0,우리은행,정상,46.46341677640735,
93,66758771,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,1.0,농협은행,정상,46.56932484110268,
101,66420849,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,3.0,외환은행,정상,46.53047051532547,
165,66758456,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,4.0,우리은행,정상,46.505780002285476,
191,66758799,렌탈,Package,홈쇼핑/방송,2019-10-21,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
214,66758781,렌탈,Promotion,일반,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,1.0,신한은행,정상,46.56932484110268,
233,66423638,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,해약확정,0,없음,4.0,농협은행,해약,47.2942399487305,
269,66758700,렌탈,Extension_Rental,서비스 방문,2019-10-21,60,카드이체,K1,102900,계약확정,0,없음,2.0,국민카드,정상,46.544634328062685,
279,66757914,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,5.0,기업은행,정상,46.47933503919503,
372,66753891,렌탈,Package,R인터넷,2019-10-21,60,카드이체,K2,89400,계약확정,0,없음,4.0,롯데카드,정상,46.51016612741164,
403,66383798,렌탈,Promotion,일반,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,2.0,농협은행,정상,46.54287987801222,
406,66227000,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,계약확정,0,없음,7.0,국민은행,정상,47.230695109913306,
410,66758757,렌탈,Package,홈쇼핑/인터넷,2019-10-21,60,카드이체,K2,81900,계약확정,0,없음,1.0,국민카드,정상,46.578097091354984,
442,66366766,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,5.0,농협은행,정상,46.488107289447335,
448,66218027,렌탈,Package,홈쇼핑/방송,2019-10-21,60,CMS,K2,81900,계약확정,0,없음,1.0,농협은행,정상,46.578097091354984,
457,66756495,렌탈,Promotion,영업방판,2019-10-21,60,CMS,K1,142200,계약확정,0,없음,4.0,농협은행,정상,46.4792878065235,
460,66423006,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,해약확정,0,없음,5.0,국민은행,해약,47.27305833579144,
484,66754145,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K2,87900,계약확정,0,없음,2.0,우체국,정상,46.553406578315,
507,66758687,렌탈,Package,홈쇼핑/방송,2019-10-21,60,CMS,K2,81900,계약확정,0,없음,7.0,농협은행,정상,46.451007413720596,
521,66758556,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,1.0,전북은행,정상,46.56406149095129,
538,66758857,렌탈,Promotion,전자랜드,2019-10-21,60,카드이체,K1,96900,계약확정,0,없음,4.0,롯데카드,정상,46.505780002285476,
